venda_id,data,produto,categoria_produto,canal,campanha,receita,custo,custo_marketing
1037,2024-06-08,Teclado Mecânico,Periféricos,Google Ads,Institucional,297.4,195.11,22.48
1038,2024-11-08,"Monitor 27""",Periféricos,Facebook Ads,Semana Tech,1274.02,802.81,46.26
1039,2024-01-08,Cadeira Gamer,Móveis,Influencers,Black Friday,804.22,490.79,155.02
1040,2024-02-18,Smartphone X,Eletrônicos,Email Marketing,Nenhuma,1844.21,1191.9,68.96
1041,2024-07-19,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1190.13,770.49,0.0
1042,2024-04-06,"Monitor 27""",Periféricos,Google Ads,Institucional,1241.38,819.08,16.1
1043,2024-01-09,Notebook Pro,Eletrônicos,Google Ads,Verão Ofertas,3625.66,2523.17,15.86
1044,2024-02-16,Teclado Mecânico,Periféricos,Facebook Ads,Black Friday,275.3,165.28,41.2
1045,2024-12-14,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,329.84,208.7,0.0
1046,2024-10-27,Cadeira Gamer,Móveis,Influencers,Verão Ofertas,773.14,489.65,92.98
1047,2024-06-11,Mesa Escritório,Móveis,Google Ads,Black Friday,560.45,352.19,74.59
1048,2024-09-01,Mesa Escritório,Móveis,Facebook Ads,Institucional,561.45,377.77,74.11
1049,2024-03-09,"Monitor 27""",Periféricos,Facebook Ads,Verão Ofertas,1091.0,678.55,61.45
1050,2024-06-04,Mesa Escritório,Móveis,Facebook Ads,Nenhuma,655.13,440.01,30.37
1051,2024-01-03,Cadeira Gamer,Móveis,Google Ads,Institucional,843.72,566.03,50.51
1052,2024-10-24,Mesa Escritório,Móveis,Email Marketing,Nenhuma,613.32,401.95,23.42
1053,2024-01-23,Notebook Pro,Eletrônicos,Influencers,Verão Ofertas,3181.4,2172.95,133.29
1054,2024-08-19,Teclado Mecânico,Periféricos,Google Ads,Verão Ofertas,327.54,220.22,26.2
1055,2024-03-30,Teclado Mecânico,Periféricos,Influencers,Semana Tech,284.3,185.89,67.55
1056,2024-04-26,Mesa Escritório,Móveis,Facebook Ads,Verão Ofertas,577.91,372.53,46.57
1057,2024-11-27,Cadeira Gamer,Móveis,Facebook Ads,Nenhuma,784.93,474.33,78.36
1058,2024-03-29,"Monitor 27""",Periféricos,Google Ads,Verão Ofertas,1095.47,705.32,58.16
1059,2024-10-01,"Monitor 27""",Periféricos,Google Ads,Institucional,1204.28,792.42,26.77
1060,2024-02-15,"Monitor 27""",Periféricos,Google Ads,Nenhuma,1223.69,825.87,13.41
1061,2024-05-25,Mesa Escritório,Móveis,Influencers,Institucional,609.19,372.44,161.36
1062,2024-12-17,Notebook Pro,Eletrônicos,Orgânico,Nenhuma,3415.28,2360.14,0.0
1063,2024-06-04,Teclado Mecânico,Periféricos,Influencers,Verão Ofertas,273.8,181.95,54.03
1064,2024-08-06,Cadeira Gamer,Móveis,Orgânico,Nenhuma,730.48,472.8,0.0
1065,2024-08-10,Smartphone X,Eletrônicos,Influencers,Institucional,2135.5,1294.46,66.3
1066,2024-12-01,"Monitor 27""",Periféricos,Google Ads,Nenhuma,1259.63,809.12,13.3
1067,2024-08-10,Cadeira Gamer,Móveis,Facebook Ads,Verão Ofertas,733.68,508.64,53.26
1068,2024-02-06,Cadeira Gamer,Móveis,Email Marketing,Black Friday,878.67,537.2,78.74
1069,2024-05-12,"Monitor 27""",Periféricos,Facebook Ads,Nenhuma,1141.42,737.38,79.98
1070,2024-02-18,Notebook Pro,Eletrônicos,Google Ads,Semana Tech,3270.52,2010.41,16.86
1071,2024-08-17,Notebook Pro,Eletrônicos,Google Ads,Semana Tech,3656.17,2238.14,62.61
1072,2024-05-31,Teclado Mecânico,Periféricos,Facebook Ads,Semana Tech,310.0,186.44,71.46
1073,2024-06-05,Smartphone X,Eletrônicos,Google Ads,Verão Ofertas,2162.57,1319.74,60.43
1074,2024-04-24,Mesa Escritório,Móveis,Orgânico,Nenhuma,591.84,386.12,0.0
1075,2024-04-14,Teclado Mecânico,Periféricos,Email Marketing,Semana Tech,318.2,212.26,64.72
1076,2024-06-16,"Monitor 27""",Periféricos,Influencers,Verão Ofertas,1239.42,857.35,187.11
1077,2024-07-05,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,294.7,194.4,0.0
1078,2024-01-09,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,278.44,182.21,0.0
1079,2024-11-14,Teclado Mecânico,Periféricos,Influencers,Semana Tech,295.83,186.25,188.21
1080,2024-10-13,Mesa Escritório,Móveis,Influencers,Black Friday,555.61,362.06,181.5
1081,2024-06-24,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,294.87,189.63,0.0
1082,2024-10-03,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,271.62,179.12,0.0
1083,2024-04-07,Smartphone X,Eletrônicos,Facebook Ads,Verão Ofertas,1864.09,1295.17,76.96
1084,2024-10-28,Mesa Escritório,Móveis,Influencers,Institucional,583.01,362.98,102.1
1085,2024-07-03,Teclado Mecânico,Periféricos,Facebook Ads,Black Friday,288.44,186.08,19.73
1086,2024-03-20,Cadeira Gamer,Móveis,Google Ads,Institucional,800.55,482.0,71.28
1087,2024-02-12,Teclado Mecânico,Periféricos,Influencers,Semana Tech,271.56,171.89,54.11
1088,2024-04-17,Smartphone X,Eletrônicos,Influencers,Nenhuma,2159.14,1420.47,169.3
1089,2024-08-02,Cadeira Gamer,Móveis,Orgânico,Nenhuma,795.18,479.13,0.0
1090,2024-10-29,Cadeira Gamer,Móveis,Orgânico,Nenhuma,823.08,556.96,0.0
1091,2024-07-04,Teclado Mecânico,Periféricos,Google Ads,Verão Ofertas,310.8,194.94,39.99
1092,2024-03-29,Mesa Escritório,Móveis,Facebook Ads,Semana Tech,639.74,433.12,46.19
1093,2024-06-11,Notebook Pro,Eletrônicos,Orgânico,Nenhuma,3314.33,2108.99,0.0
1094,2024-08-06,Cadeira Gamer,Móveis,Email Marketing,Black Friday,783.22,494.69,18.62
1095,2024-02-28,Teclado Mecânico,Periféricos,Influencers,Nenhuma,288.1,187.58,167.61
1096,2024-06-16,Mesa Escritório,Móveis,Facebook Ads,Semana Tech,542.2,363.81,50.77
1097,2024-08-14,Smartphone X,Eletrônicos,Influencers,Institucional,1980.28,1370.91,184.44
1098,2024-08-04,Notebook Pro,Eletrônicos,Google Ads,Black Friday,3576.87,2475.61,70.27
1099,2024-12-17,Mesa Escritório,Móveis,Influencers,Nenhuma,618.03,391.65,52.51
1100,2024-06-16,Mesa Escritório,Móveis,Orgânico,Nenhuma,647.2,415.11,0.0
1101,2024-12-20,Teclado Mecânico,Periféricos,Email Marketing,Nenhuma,293.22,202.43,36.52
1102,2024-08-02,Mesa Escritório,Móveis,Orgânico,Nenhuma,603.53,388.63,0.0
1103,2024-05-24,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,296.66,187.73,0.0
1104,2024-10-28,Smartphone X,Eletrônicos,Influencers,Institucional,2092.75,1402.04,51.75
1105,2024-05-07,Teclado Mecânico,Periféricos,Influencers,Semana Tech,300.26,194.17,64.11
1106,2024-05-05,"Monitor 27""",Periféricos,Google Ads,Institucional,1262.02,818.92,70.23
1107,2024-10-10,Smartphone X,Eletrônicos,Influencers,Black Friday,2180.65,1376.34,176.78
1108,2024-08-22,"Monitor 27""",Periféricos,Influencers,Nenhuma,1245.44,792.44,189.42
1109,2024-01-12,Notebook Pro,Eletrônicos,Influencers,Institucional,3673.87,2364.83,76.35
1110,2024-05-14,Notebook Pro,Eletrônicos,Email Marketing,Verão Ofertas,3746.94,2581.29,11.82
1111,2024-07-09,Teclado Mecânico,Periféricos,Influencers,Verão Ofertas,276.96,169.45,112.0
1112,2024-07-28,"Monitor 27""",Periféricos,Google Ads,Black Friday,1272.96,768.19,79.98
1113,2024-03-29,Smartphone X,Eletrônicos,Influencers,Nenhuma,2001.16,1362.53,76.96
1114,2024-05-18,Mesa Escritório,Móveis,Orgânico,Nenhuma,563.4,368.32,0.0
1115,2024-10-25,Teclado Mecânico,Periféricos,Google Ads,Institucional,299.1,188.45,56.61
1116,2024-04-07,Cadeira Gamer,Móveis,Email Marketing,Verão Ofertas,854.24,536.18,38.15
1117,2024-03-16,Smartphone X,Eletrônicos,Influencers,Nenhuma,1945.55,1344.96,96.65
1118,2024-12-02,Smartphone X,Eletrônicos,Facebook Ads,Institucional,1943.65,1221.66,19.81
1119,2024-04-26,Teclado Mecânico,Periféricos,Facebook Ads,Black Friday,273.02,172.87,47.56
1120,2024-08-11,Notebook Pro,Eletrônicos,Influencers,Black Friday,3833.97,2583.94,72.27
1121,2024-07-07,"Monitor 27""",Periféricos,Influencers,Black Friday,1145.83,708.48,168.2
1122,2024-08-21,"Monitor 27""",Periféricos,Email Marketing,Institucional,1281.5,885.74,49.44
1123,2024-08-27,Mesa Escritório,Móveis,Influencers,Nenhuma,560.0,349.75,105.62
1124,2024-08-22,Smartphone X,Eletrônicos,Google Ads,Nenhuma,2102.25,1354.91,37.18
1125,2024-10-28,Smartphone X,Eletrônicos,Email Marketing,Nenhuma,1928.49,1203.66,58.42
1126,2024-11-29,Notebook Pro,Eletrônicos,Google Ads,Black Friday,3530.13,2358.29,25.33
1127,2024-09-09,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,291.54,195.76,0.0
1128,2024-07-26,Smartphone X,Eletrônicos,Google Ads,Institucional,2035.84,1223.43,38.23
1129,2024-04-16,Smartphone X,Eletrônicos,Google Ads,Institucional,1901.08,1244.5,11.99
1130,2024-04-13,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,290.14,185.82,0.0
1131,2024-01-01,Notebook Pro,Eletrônicos,Google Ads,Institucional,3804.69,2558.24,17.71
1132,2024-07-23,Cadeira Gamer,Móveis,Influencers,Semana Tech,864.8,577.84,69.32
1133,2024-06-28,Notebook Pro,Eletrônicos,Orgânico,Nenhuma,3597.55,2331.35,0.0
1134,2024-11-09,Cadeira Gamer,Móveis,Influencers,Black Friday,756.26,512.73,122.24
1135,2024-12-28,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1121.07,706.97,0.0
1136,2024-01-24,Cadeira Gamer,Móveis,Google Ads,Semana Tech,859.34,591.94,35.06
1137,2024-08-23,Cadeira Gamer,Móveis,Email Marketing,Verão Ofertas,868.32,567.02,39.04
1138,2024-02-19,Smartphone X,Eletrônicos,Orgânico,Nenhuma,1998.9,1317.96,0.0
1139,2024-11-14,"Monitor 27""",Periféricos,Facebook Ads,Institucional,1182.97,746.92,48.41
1140,2024-09-04,Mesa Escritório,Móveis,Email Marketing,Black Friday,643.08,396.71,13.04
1141,2024-01-25,"Monitor 27""",Periféricos,Influencers,Verão Ofertas,1142.85,783.53,90.79
1142,2024-03-31,"Monitor 27""",Periféricos,Google Ads,Black Friday,1260.0,758.86,27.27
1143,2024-07-22,Notebook Pro,Eletrônicos,Facebook Ads,Institucional,3457.49,2356.37,10.41
1144,2024-06-29,Notebook Pro,Eletrônicos,Influencers,Verão Ofertas,3692.84,2265.89,69.65
1145,2024-10-10,"Monitor 27""",Periféricos,Facebook Ads,Black Friday,1288.3,801.45,24.53
1146,2024-06-27,Mesa Escritório,Móveis,Google Ads,Black Friday,596.81,390.53,22.28
1147,2024-03-04,Notebook Pro,Eletrônicos,Email Marketing,Semana Tech,3585.63,2212.09,45.65
1148,2024-04-14,Notebook Pro,Eletrônicos,Facebook Ads,Semana Tech,3490.73,2296.51,30.81
1149,2024-01-13,"Monitor 27""",Periféricos,Google Ads,Black Friday,1240.56,801.12,51.39
1150,2024-12-25,Notebook Pro,Eletrônicos,Email Marketing,Semana Tech,3618.56,2348.49,13.62
1151,2024-11-11,Notebook Pro,Eletrônicos,Influencers,Black Friday,3563.29,2465.22,68.17
1152,2024-03-04,Cadeira Gamer,Móveis,Google Ads,Nenhuma,849.71,535.5,24.7
1153,2024-07-09,Teclado Mecânico,Periféricos,Influencers,Nenhuma,298.1,205.73,161.09
1154,2024-04-22,Mesa Escritório,Móveis,Email Marketing,Nenhuma,616.84,413.59,19.76
1155,2024-06-13,Teclado Mecânico,Periféricos,Facebook Ads,Verão Ofertas,296.03,193.54,26.99
1156,2024-10-26,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,277.69,179.35,0.0
1157,2024-03-22,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1239.54,867.17,0.0
1158,2024-01-13,Cadeira Gamer,Móveis,Email Marketing,Semana Tech,729.32,439.05,17.29
1159,2024-07-02,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1220.63,796.3,0.0
1160,2024-10-01,Notebook Pro,Eletrônicos,Influencers,Nenhuma,3187.69,2062.71,61.41
1161,2024-06-01,Teclado Mecânico,Periféricos,Influencers,Nenhuma,310.28,216.83,53.36
1162,2024-10-05,Cadeira Gamer,Móveis,Influencers,Nenhuma,813.44,533.83,79.3
1163,2024-06-30,Notebook Pro,Eletrônicos,Facebook Ads,Nenhuma,3485.22,2435.29,15.9
1164,2024-10-03,Teclado Mecânico,Periféricos,Facebook Ads,Institucional,299.28,192.52,21.12
1165,2024-12-02,Notebook Pro,Eletrônicos,Facebook Ads,Semana Tech,3441.85,2374.78,38.12
1166,2024-12-02,Cadeira Gamer,Móveis,Orgânico,Nenhuma,775.15,516.34,0.0
1167,2024-11-10,Mesa Escritório,Móveis,Google Ads,Verão Ofertas,638.77,413.69,64.03
1168,2024-09-11,Teclado Mecânico,Periféricos,Facebook Ads,Verão Ofertas,284.77,186.52,39.28
1169,2024-09-07,Notebook Pro,Eletrônicos,Email Marketing,Nenhuma,3470.6,2094.67,35.1
1170,2024-07-12,"Monitor 27""",Periféricos,Facebook Ads,Black Friday,1258.84,879.76,60.64
1171,2024-07-10,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1115.34,703.95,0.0
1172,2024-03-04,Cadeira Gamer,Móveis,Google Ads,Verão Ofertas,789.33,522.59,63.38
1173,2024-04-23,Mesa Escritório,Móveis,Facebook Ads,Semana Tech,651.54,407.51,34.34
1174,2024-07-26,Smartphone X,Eletrônicos,Email Marketing,Nenhuma,2056.62,1363.24,59.88
1175,2024-03-02,Notebook Pro,Eletrônicos,Facebook Ads,Semana Tech,3647.56,2511.09,26.24
1176,2024-10-29,"Monitor 27""",Periféricos,Facebook Ads,Institucional,1268.23,779.56,19.79
1177,2024-09-13,Cadeira Gamer,Móveis,Influencers,Nenhuma,776.73,534.07,192.26
1178,2024-12-13,Cadeira Gamer,Móveis,Google Ads,Verão Ofertas,753.92,523.22,70.7
1179,2024-01-19,Notebook Pro,Eletrônicos,Email Marketing,Nenhuma,3436.62,2205.67,41.62
1180,2024-06-22,Notebook Pro,Eletrônicos,Facebook Ads,Nenhuma,3425.46,2062.01,77.63
1181,2024-10-24,"Monitor 27""",Periféricos,Facebook Ads,Nenhuma,1133.09,732.52,20.59
1182,2024-12-13,Teclado Mecânico,Periféricos,Email Marketing,Black Friday,301.36,182.05,66.27
1183,2024-11-12,Teclado Mecânico,Periféricos,Influencers,Verão Ofertas,304.71,199.24,62.73
1184,2024-01-24,Notebook Pro,Eletrônicos,Facebook Ads,Semana Tech,3625.83,2472.44,61.69
1185,2024-03-21,Mesa Escritório,Móveis,Google Ads,Black Friday,606.2,406.8,17.85
1186,2024-03-03,Notebook Pro,Eletrônicos,Facebook Ads,Nenhuma,3743.05,2598.81,77.26
1187,2024-04-07,Cadeira Gamer,Móveis,Influencers,Institucional,850.35,566.83,110.73
1188,2024-08-21,Cadeira Gamer,Móveis,Influencers,Institucional,820.46,567.55,106.3
1189,2024-10-23,"Monitor 27""",Periféricos,Influencers,Black Friday,1315.0,802.82,108.28
1190,2024-02-11,Smartphone X,Eletrônicos,Email Marketing,Black Friday,2070.0,1383.42,67.44
1191,2024-11-20,Notebook Pro,Eletrônicos,Orgânico,Nenhuma,3283.99,2198.3,0.0
1192,2024-09-23,"Monitor 27""",Periféricos,Influencers,Semana Tech,1246.32,820.83,93.45
1193,2024-07-25,Teclado Mecânico,Periféricos,Facebook Ads,Nenhuma,273.55,181.38,57.76
1194,2024-07-01,"Monitor 27""",Periféricos,Facebook Ads,Semana Tech,1200.8,750.06,68.07
1195,2024-07-17,Teclado Mecânico,Periféricos,Email Marketing,Nenhuma,316.66,220.61,14.22
1196,2024-01-12,Notebook Pro,Eletrônicos,Orgânico,Nenhuma,3346.28,2188.13,0.0
1197,2024-04-14,Smartphone X,Eletrônicos,Facebook Ads,Semana Tech,2178.7,1357.94,50.54
1198,2024-04-06,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1167.96,714.0,0.0
1199,2024-11-17,Teclado Mecânico,Periféricos,Google Ads,Semana Tech,303.28,197.94,77.3
1200,2024-05-09,Notebook Pro,Eletrônicos,Google Ads,Semana Tech,3488.4,2222.51,25.28
1201,2024-12-02,Mesa Escritório,Móveis,Orgânico,Nenhuma,595.15,358.48,0.0
1202,2024-10-01,Smartphone X,Eletrônicos,Google Ads,Verão Ofertas,1990.36,1196.5,14.08
1203,2024-07-17,"Monitor 27""",Periféricos,Influencers,Institucional,1201.28,790.19,57.34
1204,2024-08-26,Mesa Escritório,Móveis,Email Marketing,Verão Ofertas,655.08,416.6,46.65
1205,2024-12-22,Cadeira Gamer,Móveis,Influencers,Black Friday,749.06,457.03,133.42
1206,2024-04-25,Smartphone X,Eletrônicos,Influencers,Semana Tech,1820.84,1154.83,196.59
1207,2024-06-27,Cadeira Gamer,Móveis,Orgânico,Nenhuma,723.4,500.87,0.0
1208,2024-09-23,Notebook Pro,Eletrônicos,Influencers,Black Friday,3263.27,2050.89,192.55
1209,2024-11-17,Teclado Mecânico,Periféricos,Influencers,Semana Tech,314.33,202.63,196.24
1210,2024-01-18,Mesa Escritório,Móveis,Email Marketing,Nenhuma,592.47,393.3,48.77
1211,2024-10-30,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1129.02,752.87,0.0
1212,2024-02-15,Notebook Pro,Eletrônicos,Google Ads,Verão Ofertas,3409.99,2137.73,35.95
1213,2024-05-26,Notebook Pro,Eletrônicos,Orgânico,Nenhuma,3245.7,2104.12,0.0
1214,2024-03-09,Mesa Escritório,Móveis,Facebook Ads,Semana Tech,606.62,403.1,76.25
1215,2024-10-11,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1107.93,692.11,0.0
1216,2024-03-24,Teclado Mecânico,Periféricos,Google Ads,Institucional,299.2,181.91,45.65
1217,2024-02-14,Cadeira Gamer,Móveis,Influencers,Semana Tech,835.36,509.12,175.16
1218,2024-11-04,Smartphone X,Eletrônicos,Influencers,Semana Tech,2102.89,1470.94,109.23
1219,2024-04-18,Teclado Mecânico,Periféricos,Influencers,Nenhuma,291.42,183.67,77.31
1220,2024-05-10,Cadeira Gamer,Móveis,Orgânico,Nenhuma,759.71,476.25,0.0
1221,2024-02-27,Cadeira Gamer,Móveis,Google Ads,Black Friday,869.08,557.83,70.67
1222,2024-04-01,"Monitor 27""",Periféricos,Google Ads,Semana Tech,1197.45,755.11,47.51
1223,2024-09-20,Cadeira Gamer,Móveis,Orgânico,Nenhuma,869.08,543.34,0.0
1224,2024-10-06,Teclado Mecânico,Periféricos,Email Marketing,Black Friday,287.7,197.69,20.51
1225,2024-10-12,Cadeira Gamer,Móveis,Orgânico,Nenhuma,794.7,531.72,0.0
1226,2024-12-10,Cadeira Gamer,Móveis,Google Ads,Semana Tech,762.92,497.73,74.55
1227,2024-07-26,Smartphone X,Eletrônicos,Google Ads,Nenhuma,2177.43,1391.65,14.0
1228,2024-12-26,Cadeira Gamer,Móveis,Google Ads,Semana Tech,800.89,483.37,61.32
1229,2024-11-29,Notebook Pro,Eletrônicos,Influencers,Verão Ofertas,3764.14,2286.57,192.6
1230,2024-11-21,Smartphone X,Eletrônicos,Influencers,Semana Tech,1864.32,1138.65,193.03
1231,2024-07-08,Notebook Pro,Eletrônicos,Influencers,Nenhuma,3150.47,2177.7,90.58
1232,2024-07-01,Mesa Escritório,Móveis,Facebook Ads,Nenhuma,633.18,385.13,56.31
1233,2024-04-05,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,315.55,201.04,0.0
1234,2024-01-13,Teclado Mecânico,Periféricos,Google Ads,Institucional,308.48,189.33,41.8
1235,2024-01-03,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,312.73,205.36,0.0
1236,2024-02-28,Mesa Escritório,Móveis,Email Marketing,Verão Ofertas,553.79,367.44,41.59
1237,2024-02-13,Teclado Mecânico,Periféricos,Orgânico,Nenhuma,306.83,197.57,0.0
1238,2024-05-24,Teclado Mecânico,Periféricos,Influencers,Institucional,281.48,183.36,109.22
1239,2024-03-21,Notebook Pro,Eletrônicos,Google Ads,Black Friday,3834.55,2328.72,65.49
1240,2024-12-20,Cadeira Gamer,Móveis,Orgânico,Nenhuma,787.03,537.77,0.0
1241,2024-07-20,Notebook Pro,Eletrônicos,Google Ads,Nenhuma,3392.94,2165.95,50.35
1242,2024-01-25,Smartphone X,Eletrônicos,Google Ads,Verão Ofertas,1862.89,1216.15,73.05
1243,2024-03-28,"Monitor 27""",Periféricos,Google Ads,Verão Ofertas,1238.66,800.1,53.74
1244,2024-11-15,Notebook Pro,Eletrônicos,Email Marketing,Nenhuma,3516.42,2397.86,19.23
1245,2024-05-05,Notebook Pro,Eletrônicos,Facebook Ads,Nenhuma,3453.95,2290.66,41.04
1246,2024-10-30,Cadeira Gamer,Móveis,Email Marketing,Verão Ofertas,858.8,573.18,29.68
1247,2024-07-24,Smartphone X,Eletrônicos,Google Ads,Nenhuma,2132.81,1480.59,56.39
1248,2024-05-19,"Monitor 27""",Periféricos,Facebook Ads,Nenhuma,1190.8,718.72,41.68
1249,2024-07-27,"Monitor 27""",Periféricos,Email Marketing,Black Friday,1163.02,763.57,23.06
1250,2024-04-27,Smartphone X,Eletrônicos,Email Marketing,Black Friday,1984.15,1199.29,71.54
1251,2024-02-10,"Monitor 27""",Periféricos,Influencers,Nenhuma,1206.51,843.35,180.18
1252,2024-12-13,Smartphone X,Eletrônicos,Email Marketing,Institucional,2040.46,1282.53,39.63
1253,2024-08-15,Mesa Escritório,Móveis,Google Ads,Semana Tech,621.8,395.26,64.4
1254,2024-04-21,Smartphone X,Eletrônicos,Email Marketing,Verão Ofertas,1899.02,1325.58,67.05
1255,2024-07-14,Cadeira Gamer,Móveis,Influencers,Institucional,812.78,534.22,187.89
1256,2024-03-19,Mesa Escritório,Móveis,Orgânico,Nenhuma,656.59,420.17,0.0
1257,2024-10-22,Cadeira Gamer,Móveis,Influencers,Verão Ofertas,874.36,607.33,56.51
1258,2024-05-21,Notebook Pro,Eletrônicos,Google Ads,Verão Ofertas,3820.89,2641.6,35.53
1259,2024-04-30,"Monitor 27""",Periféricos,Influencers,Verão Ofertas,1121.99,695.62,162.92
1260,2024-08-27,Mesa Escritório,Móveis,Google Ads,Institucional,548.89,373.69,19.99
1261,2024-04-19,Cadeira Gamer,Móveis,Facebook Ads,Black Friday,861.14,544.89,65.35
1262,2024-12-09,Cadeira Gamer,Móveis,Influencers,Institucional,850.94,550.6,167.73
1263,2024-06-05,Notebook Pro,Eletrônicos,Influencers,Semana Tech,3438.22,2203.26,60.21
1264,2024-08-21,"Monitor 27""",Periféricos,Facebook Ads,Black Friday,1189.57,751.26,65.42
1265,2024-02-14,Mesa Escritório,Móveis,Email Marketing,Institucional,605.1,388.72,38.12
1266,2024-12-24,Cadeira Gamer,Móveis,Orgânico,Nenhuma,813.51,568.76,0.0
1267,2024-07-20,Mesa Escritório,Móveis,Facebook Ads,Institucional,568.57,342.43,38.99
1268,2024-02-11,"Monitor 27""",Periféricos,Google Ads,Black Friday,1316.0,869.66,19.57
1269,2024-01-09,Notebook Pro,Eletrônicos,Google Ads,Verão Ofertas,3192.25,2124.98,38.48
1270,2024-06-05,Teclado Mecânico,Periféricos,Influencers,Semana Tech,293.95,179.58,195.35
1271,2024-11-21,Cadeira Gamer,Móveis,Facebook Ads,Semana Tech,837.3,545.92,20.87
